题号,题型,题干,选项A,选项B,选项C,选项D,我的答案,正确答案,得分,知识点,解析
1,一. 单选题（共 90 题，90.0 分）,下列哪项不是人工智能发展历程中的关键事件？ ( ),A. 图灵测试的提出,B. “深蓝”计算机在国际象棋中击败人类冠军,C. Watson在Jeopardy 游戏中获胜,D. 个人计算机的普及,D,D,1.0,第1章,
2,一. 单选题（共 90 题，90.0 分）,连接主义学派认为智能主要来源于 ( ) 。,A. 符号和规则,B. 神经元之间的连接和权重调整,C. 自然选择和遗传算法,D. 逻辑和演绎推理,C,B,0.0,第1章,
3,一. 单选题（共 90 题，90.0 分）,人工智能伦理主要关注的问题是 ( )。,A. 技术效率和性能,B. 数据隐私和安全,C. 机器人的外观设计,D. 软件版本更新速度,C,B,0.0,第1章,
4,一. 单选题（共 90 题，90.0 分）,人工智能在金融领域的应用不包括 ( )。,A. 风险评估,B. 欺诈检测,C. 投资建议,D. 现金管理,C,D,0.0,第1章,
5,一. 单选题（共 90 题，90.0 分）,下列哪项不是人工智能的基本特征？ ( ),A. 自主性,B. 学习性,C. 确定性,D. 适应性,D,C,0.0,第1章,
6,一. 单选题（共 90 题，90.0 分）,被誉为“人工智能之父”的是 ( )。,A. 艾伦·图灵,B. 约翰·冯·诺依曼,C. 查尔斯·巴贝奇,D. 比尔·盖茨,A,A,1.0,第1章,
7,一. 单选题（共 90 题，90.0 分）,在安装Python时，默认会包含 ( ) 集成开发环境（IDE）。,A. PyCharm,B. Visual Studio Code,C. IDLE,D. Jupyter Notebook,C,C,1.0,Python编程环境安装配置,
8,一. 单选题（共 90 题，90.0 分）,使用pip安装第三方库numpy的正确命令是？ （ ）,A. pip install numpy,B. pip numpy install,C. install numpy pip,D. numpy install pip,C,A,0.0,Python编程环境安装配置,pip安装第三方库的语法为“pip install 库名”，因此安装numpy的正确命令是pip install numpy。
9,一. 单选题（共 90 题，90.0 分）,解释型语言和编译型语言的主要区别在于 ( ) 。,A. 解释型语言不需要编译器,B. 编译型语言运行速度更快,C. 解释型语言逐行执行代码,D. 编译型语言不能跨平台运行,C,C,1.0,Python编程环境安装配置,
10,一. 单选题（共 90 题，90.0 分）,下列哪项用于获取字符串的长度？( ),A. str.length(),B. len(str),C. str.size(),D. 以上都不是,C,B,0.0,Python基本数据类型,
11,一. 单选题（共 90 题，90.0 分）,"range(1, 5) 可以得到数列（ ）。",A. 5,B. 1，2，3，4，5,C. 0，1，2，3，4，5,D. 1，2，3，4,C,D,0.0,Python函数,
12,一. 单选题（共 90 题，90.0 分）,以下不是Python语言合法命名的标识符是（ ）。,A. MyGod5,B. MyGod,C. _MyGod_,D. 5MyGod,C,D,0.0,Python的基本语法,
13,一. 单选题（共 90 题，90.0 分）,以下关于Python语言中”缩进“说法正确的是（ ）。,A. 缩进统一为4个空格,B. 缩进可以用在任何语句之后，表示语句间的包含关系,C. 缩进是非强制的，仅为了提高代码可读性,D. 缩进在程序中长度统一且强制使用,C,D,0.0,Python的基本语法,
14,一. 单选题（共 90 题，90.0 分）,关于 Python 语言的注释，以下选项中描述错误的是（ ）。,A. Python 语言的单行注释以单引号 ' 开头,B. Python 语言的单行注释以#开头,C. Python 语言的多行注释以 '''(三个单引号)开头和结尾,D. Python 语言有两种注释方式：单行注释和多行注释,C,A,0.0,Python的基本语法,
15,一. 单选题（共 90 题，90.0 分）,以下哪个选项可以正确导入Python的math模块？（ ）,A. import math,B. include math,C. require math,D. load math,C,A,0.0,Python的基本语法,Python中使用import关键字导入模块，例如import math。其他选项均不是Python导入模块的正确方式。
16,一. 单选题（共 90 题，90.0 分）,假设x=2，x*=3+5**2 的运算结果是 （ ）。,A. 56,B. 26,C. 13,D. 28,C,A,0.0,Python基本运算,
17,一. 单选题（共 90 题，90.0 分）,3%5 和 3//5 的结果分别是？（ ）,"A. 3,0","B. 3,0.6","C. 0,0","D. 0,0.6",C,A,0.0,Python基本运算,
18,一. 单选题（共 90 题，90.0 分）,算术运算符中表示指数幂运算的是（ ）。,A. +,B. -,C. *,D. **,C,D,0.0,Python基本运算,
19,一. 单选题（共 90 题，90.0 分）,表达式 '10' > '9' 的运算结果是（ ）。,A. 成立,B. 不成立,C. True,D. False,C,D,0.0,Python关系运算,
20,一. 单选题（共 90 题，90.0 分）,执行语句 print('a' == 'A' or 'b' > 'a') 的输出结果是（ ）。,A. True,B. False,C. 'a' == 'A',D. 'b' > 'a',C,A,0.0,Python关系运算,'a'=='A'为False，'b'>'a'为True，逻辑或运算结果为True。
21,一. 单选题（共 90 题，90.0 分）,"num = 3.00001284 print(\""{:.3f}\"".format(num)) 运行结果的输出为（ ）。",A. 3.0,B. 3.000,C. 3.00,D. 3.00001284,C,B,0.0,Python输入输出,
22,一. 单选题（共 90 题，90.0 分）,执行语句 print(f'I have {3+5} apples') ，输出结果是（ ）。,A. I have 8 apples,B. I have {3+5} apples,C. I have 3+5 apples,D. I have apples,C,A,0.0,Python输入输出,Python的f-string（格式化字符串字面值）会将花括号内的表达式计算后插入字符串。3+5的结果是8，故输出为I have 8 apples。
23,一. 单选题（共 90 题，90.0 分）,"执行 print('a', 'b', 'c', sep='') ，输出结果是（ ）。",A. abc,B. a b c,"C. a,b,c",D. a\nb\nc,C,A,0.0,Python输入输出,sep=''表示输出对象之间没有分隔符，故a、b、c会直接连接输出为abc。
24,一. 单选题（共 90 题，90.0 分）,字符串是一个字符序列，给定字符串s，以下表示s从左侧向右前三个字符的是（ ）。,A. s[0:3],B. s[1:3],C. s[0:2],D. s[-1:-3],C,A,0.0,Python基本数据类型,
25,一. 单选题（共 90 题，90.0 分）,s.count(x) 的返回值是（ ）。,A. 字符串s中x的序号,B. 字符串s中x的数量,C. 字符串x中s的数量,D. 字符串x中s的序号,C,B,0.0,Python基本数据类型,
26,一. 单选题（共 90 题，90.0 分）,Python中用于将字符串转换为整数的函数是？（ ）,A. int(),B. str(),C. float(),D. bool(),C,A,0.0,Python基本数据类型,Python中int()函数用于将字符串或其他类型转换为整数，例如int('5')返回5。str()用于转换为字符串，float()用于转换为浮点数，bool()用于转换为布尔值。
27,一. 单选题（共 90 题，90.0 分）,哪个选项是用来判断当前Python语句在分支结构中?（ ）,A. 大括号,B. 缩进,C. 冒号,D. 引号,C,B,0.0,选择结构,
28,一. 单选题（共 90 题，90.0 分）,下列哪项不是Python中的控制结构？ ( ),A. if-else,B. for,C. while,D. switch-case,C,D,0.0,选择结构,
29,一. 单选题（共 90 题，90.0 分）,以下关于选择结构的描述正确的是（ ）。,A. 选择结构只能有一个分支,B. 选择结构根据条件判断执行不同分支,C. 选择结构必须包含else子句,D. 选择结构的条件只能是布尔值,C,B,0.0,选择结构,选择结构根据条件的真假执行不同分支，单分支结构没有else子句，条件可以是表达式（结果为布尔值）。
30,一. 单选题（共 90 题，90.0 分）,用于提前终止循环的流程控制语句是（ ）。,A. pass,B. continue,C. break,D. try,C,C,1.0,循环结构,
31,一. 单选题（共 90 题，90.0 分）,"以下程序打印九九乘法表。请补充程序代码。 for i in range(1, 10): for ______ in range(1, i+1): print('{0}*{1}={2:^2}'.format(i,j,i*j), end=' ') print()",A. j,B. i,C. x,D. y,C,A,0.0,循环结构,
32,一. 单选题（共 90 题，90.0 分）,"使用while循环实现输出1-20中的不是2倍数也不是3倍数的数。补充代码，完成此功能。 x=0 while _____________: x+=1 if x%2==0 or x%3==0: continue else: print(x,end=\"",\"")",A. x<20,"B. range(1,20)",C. 1,D. x>20,C,A,0.0,循环结构,
33,一. 单选题（共 90 题，90.0 分）,"ls = [25, 13, 36, 1] ls.clear()与del ls的处理结果的区别是（ ）。",A. ls.clear()只是清空列表，del ls是删除列表对象,B. ls.clear()只是删除列表对象，del ls是清空列表,C. ls.clear()与del ls的处理结果没有区别,D. ls.clear()只是清空列表，del ls是删除程序,C,A,0.0,组合数据类型,
34,一. 单选题（共 90 题，90.0 分）,有一个字符串'10111100'，则set('10111100')的结果为（ ）。,"A. {'1', '0', '1', '1', '1', '1', '0', '0'}","B. {'0', '1'}",C. '10111100',D. 10111100,C,B,0.0,组合数据类型,
35,一. 单选题（共 90 题，90.0 分）,下列哪项用于访问字典中的值？ ( ),A. 使用索引,B. 使用键,C. 使用get()方法,D. B和C都可以,C,D,0.0,组合数据类型,
36,一. 单选题（共 90 题，90.0 分）,python中random库中，可以产生整数随机数的方法有（ ）。,A. randint(),B. random(),C. uniform(),D. choice(),C,A,0.0,Python函数,
37,一. 单选题（共 90 题，90.0 分）,以下函数定义的说法错误的是（ ）。,A. 函数定义时，可以有return语句，也可以没有,B. 函数定义时，参数需要声明数据类型,C. 函数定义时，可以返回0个或多个结果，多个结果将作为元组类型返回,D. 函数定义时，参数个数可以是 0 个或多个，类型可以不同,C,B,0.0,Python函数,
38,一. 单选题（共 90 题，90.0 分）,以下Python代码执行后，输出结果是什么？ （ ） def func(x): x += 1 return x x = 5 func(x) print(x),A. 5,B. 6,C. 4,D. 报错,C,A,0.0,Python函数,Python中整数是不可变对象，函数func接收的是x的副本，在函数内部修改x的值不会影响外部的x变量。
39,一. 单选题（共 90 题，90.0 分）,以追加写模式打开文件，mode参数值应设为（ ）。,A. 'r',B. 'w',C. 'a',D. 't',C,C,1.0,Python文件,
40,一. 单选题（共 90 题，90.0 分）,使用with语句打开文件的主要目的是（ ）。,A. 提高文件读写速度,B. 自动管理文件关闭，避免资源泄漏,C. 只能用于文本文件操作,D. 必须与open()函数配合使用才能读取文件,C,B,0.0,Python文件,with语句会在代码块结束后自动调用文件对象的close()方法，确保文件资源被正确释放，避免因忘记关闭文件导致的资源泄漏。因此正确答案是“ 自动管理文件关闭，避免资源泄漏 ”。
41,一. 单选题（共 90 题，90.0 分）,以下哪项不是人工智能平台硬件基础设施的关键组件？ ( ),A. 高性能CPU,B. 大容量内存,C. 专用GPU,D. 传统机械硬盘,C,D,0.0,第3章,
42,一. 单选题（共 90 题，90.0 分）,冯·诺依曼体系结构的核心思想不包括 ( ) 。,A. 存储程序原理,B. 指令和数据以二进制形式存储,C. 程序执行自动化,D. 单一处理单元串行处理所有任务,C,D,0.0,第3章,
43,一. 单选题（共 90 题，90.0 分）,并行计算系统的主要目的是 ( )。,A. 降低硬件成本,B. 提高计算速度,C. 减少能源消耗,D. 简化编程模型,C,B,0.0,第3章,
44,一. 单选题（共 90 题，90.0 分）,下列哪项不属于云计算的服务模式？ ( ),A. IaaS（基础设施即服务）,B. PaaS（平台即服务）,C. SaaS（软件即服务）,D. DaaS（数据即服务）,C,D,0.0,第3章,
45,一. 单选题（共 90 题，90.0 分）,云存储的主要特点是 ( ) 。,A. 数据存储在本地设备,B. 数据不可扩展,C. 数据访问受限于地理位置,D. 通过互联网提供数据存储和访问服务,C,D,0.0,第3章,
46,一. 单选题（共 90 题，90.0 分）,虚拟主机技术的核心目标是实现 ( ) 。,A. 硬件资源的抽象和隔离,B. 网络速度的提升,C. 软件的自动化部署,D. 数据安全性的增强,C,A,0.0,第3章,
47,一. 单选题（共 90 题，90.0 分）,下列哪种编码方式用于表示文本字符在计算机中的二进制形式？ ( ),A. ASCII,B. UTF-8,C. 两者都是,D. 两者都不是,C,C,1.0,第3章,
48,一. 单选题（共 90 题，90.0 分）,在TCP/IP协议栈中，负责可靠数据传输的是 ( )。,A. 链路层,B. 网络层,C. 传输层,D. 应用层,C,C,1.0,第4章,
49,一. 单选题（共 90 题，90.0 分）,计算机网络的主要功能是 ( ) 。,A. 数据共享,B. 资源共享,C. 信息传递,D. 以上都是,C,D,0.0,第4章,
50,一. 单选题（共 90 题，90.0 分）,以下哪项不是物联网的特征？ ( ),A. 全面感知,B. 可靠传输,C. 智能处理,D. 单向通信,C,D,0.0,第4章,
51,一. 单选题（共 90 题，90.0 分）,下列哪项不是常见的网络设备？ ( ),A. 路由器,B. 交换机,C. 打印机,D. 调制解调器,C,C,1.0,第4章,
52,一. 单选题（共 90 题，90.0 分）,数据链路层通过 ( ) 来识别不同的设备。,A. IP地址,B. MAC地址,C. 域名,D. 端口号,C,B,0.0,第4章,
53,一. 单选题（共 90 题，90.0 分）,手机中的 ( ) 可以帮助设备检测其相对于地面的方向变化，如倾斜或旋转。,A. 加速度传感器,B. 陀螺仪（角度传感器）,C. 光线传感器,D. 距离传感器,C,B,0.0,第4章,
54,一. 单选题（共 90 题，90.0 分）,物联网技术最早在 ( ) 领域得到广泛应用。,A. 军事,B. 教育,C. 医疗,D. 农业,C,A,0.0,第4章,
55,一. 单选题（共 90 题，90.0 分）,专家系统主要依赖于 ( ) 进行决策。,A. 大数据处理,B. 预定义的规则和知识库,C. 深度学习模型,D. 强化学习,C,B,0.0,第5章,
56,一. 单选题（共 90 题，90.0 分）,BP神经网络中的“BP”代表 ( ) 。,A. Backward Propagation（反向传播）,B. Binary Processing（二进制处理）,C. Basic Programming（基础编程）,D. Batch Processing（批处理）,C,A,0.0,第5章,
57,一. 单选题（共 90 题，90.0 分）,循环神经网络（RNN）的核心特点是 ( ) 。,A. 能够处理变长输入,B. 仅适用于线性数据,C. 不需要训练过程,D. 仅能处理静态数据,C,A,0.0,第5章,
58,一. 单选题（共 90 题，90.0 分）,卷积神经网络中的卷积层主要用于 ( ) 。,A. 提取特征,B. 减少数据维度,C. 分类决策,D. 回归预测,C,A,0.0,第5章,
59,一. 单选题（共 90 题，90.0 分）,在生物神经网络中，神经元之间通过 ( ) 进行连接。,A. 突触,B. 轴突,C. 树突,D. 神经元胞体,C,A,0.0,第5章,
60,一. 单选题（共 90 题，90.0 分）,残差神经网络中的跳跃连接有助于 ( ) 。,A. 加快训练速度,B. 防止过拟合,C. 解决梯度消失问题,D. 提高模型泛化能力,C,C,1.0,第5章,
61,一. 单选题（共 90 题，90.0 分）,人工神经网络中的权重是如何初始化的？ ( ),A. 总是随机初始化,B. 总是设置为0,C. 根据特定规则（如正态分布）初始化,D. 总是设置为1,C,C,1.0,第5章,
62,一. 单选题（共 90 题，90.0 分）,循环神经网络在处理长序列时面临的主要问题是 ( )。,A. 梯度消失或梯度爆炸,B. 数据稀疏性,C. 过拟合,D. 计算效率低,C,A,0.0,第5章,
63,一. 单选题（共 90 题，90.0 分）,专家系统通常包括 ( ) 三个主要组成部件。,A. 知识库、推理机、用户界面,B. 数据集、模型、算法,C. 输入层、隐藏层、输出层,D. 感知器、学习器、执行器,C,A,0.0,第5章,
64,一. 单选题（共 90 题，90.0 分）,在梯度下降算法中，学习率的作用是 ( ) 。,A. 控制每次迭代更新的步长,B. 决定模型复杂度,C. 直接影响模型的准确率,D. 控制数据预处理的方式,C,A,0.0,第5章,
65,一. 单选题（共 90 题，90.0 分）,自然语言处理大模型的核心能力是 ( ) 。,A. 语音识别,B. 文本生成,C. 图像识别,D. 视频分析,C,B,0.0,第6章,
66,一. 单选题（共 90 题，90.0 分）,GPT系列模型与BERT模型的主要区别在于 ( ) 。,A. 训练数据集大小,B. 编码方式,C. 生成式与判别式任务,D. 模型架构,C,C,1.0,第6章,
67,一. 单选题（共 90 题，90.0 分）,机器视觉处理大模型在处理图像时，主要依赖的技术是 ( )。,A. 卷积神经网络,B. 循环神经网络,C. 决策树,D. 支持向量机,C,A,0.0,第6章,
68,一. 单选题（共 90 题，90.0 分）,YOLO系列模型在机器视觉处理中的优势是 ( ) 。,A. 高速实时检测,B. 高精度图像分类,C. 语音识别,D. 视频生成,C,A,0.0,第6章,
69,一. 单选题（共 90 题，90.0 分）,( ) 模型在图像分割领域取得了显著成果。,A. GPT-3,B. Mask R-CNN,C. Transformer,D. BERT,C,B,0.0,第6章,
70,一. 单选题（共 90 题，90.0 分）,在机器视觉处理中，生成对抗网络的主要用途是 ( )。,A. 图像分类,B. 图像生成与修复,C. 目标检测,D. 语音识别,C,B,0.0,第6章,
71,一. 单选题（共 90 题，90.0 分）,提示性工程在自然语言处理大模型中的作用是 ( ) 。,A. 优化模型参数,B. 提供更好的输入指导，提高模型输出质量,C. 改善图像清晰度,D. 加速模型训练,B,B,1.0,第6章,
72,一. 单选题（共 90 题，90.0 分）,AI办公的发展趋势是 ( ) 。,A. 完全替代人工办公,B. 辅助人工，提高工作效率与质量,C. 专注于图像识别与分类,D. 替代所有传统办公软件,B,B,1.0,第6章,
73,一. 单选题（共 90 题，90.0 分）,文生图技术的核心在于将文本描述转化为图像，这通常涉及 ( ) 技术。,A. 深度学习中的生成模型,B. 图像分类算法,C. 语音识别技术,D. 视频压缩技术,B,A,0.0,第6章,
74,一. 单选题（共 90 题，90.0 分）,机器视觉处理大模型在自动驾驶中的应用，主要关注 ( ) 的检测。,A. 行人、车辆、交通标志,B. 语音指令,C. 文本内容,D. 视频流分析,B,A,0.0,第6章,
75,一. 单选题（共 90 题，90.0 分）,AI办公中，图像识别技术主要用于 ( ) 。,A. 文档扫描与识别,B. 邮件分类,C. 语音转文字,D. PPT制作中的插入图片,A,A,1.0,第6章,
76,一. 单选题（共 90 题，90.0 分）,下列 ( ) 属于有监督学习。,A. K-means,B. Apriori,C. SVM,D. PCA,B,C,0.0,第7章,
77,一. 单选题（共 90 题，90.0 分）,在有监督学习中，模型训练的目标是 ( )。,A. 最大化损失函数,B. 最小化损失函数,C. 寻找数据中的隐藏模式,D. 自动生成新数据,C,B,0.0,第7章,
78,一. 单选题（共 90 题，90.0 分）,在多分类问题中，常用的策略包括 ( ) 。,A. 一对多,B. 一对一,C. 层次分类,D. 以上都是,C,D,0.0,第7章,
79,一. 单选题（共 90 题，90.0 分）,联邦学习的主要优势是 ( )。,A. 提高模型精度,B. 加速模型训练,C. 保护数据隐私,D. 减少计算资源,C,C,1.0,第7章,
80,一. 单选题（共 90 题，90.0 分）,在有监督学习中，标签数据的作用是 ( ) 。,A. 提供模型训练的目标,B. 用于数据预处理,C. 用于特征选择,D. 以上都不是,B,A,0.0,第7章,
81,一. 单选题（共 90 题，90.0 分）,在网络数据异常检测中，联邦学习是如何保护数据隐私的？ ( ),A. 通过数据加密传输,B. 通过数据脱敏处理,C. 通过不共享原始数据,D. 以上都是,B,C,0.0,第7章,
82,一. 单选题（共 90 题，90.0 分）,下列哪个不是解决过拟合的方法？ ( ),A. 增加数据量,B. 使用正则化,C. 减少模型复杂度,D. 增加模型复杂度,B,D,0.0,第7章,
83,一. 单选题（共 90 题，90.0 分）,在多分类问题中，Softmax函数通常用于 ( ) 。,A. 数据预处理,B. 特征选择,C. 输出层的概率分布计算,D. 模型评估,C,C,1.0,第7章,
84,一. 单选题（共 90 题，90.0 分）,下列 ( ) 不是支持向量机（SVM）的特点。,A. 适用于高维数据,B. 对非线性问题有很好的处理能力,C. 对缺失数据敏感,D. 计算复杂度低,B,D,0.0,第7章,
85,一. 单选题（共 90 题，90.0 分）,在机器学习的模型训练过程中，通常使用 ( ) 来评估模型的性能。,A. 训练集,B. 验证集,C. 测试集,D. 所有数据集,D,B,0.0,第7章,
86,一. 单选题（共 90 题，90.0 分）,在机器学习模型训练过程中，过拟合通常指的是 ( ) 。,A. 模型在训练集上表现良好，在测试集上表现差,B. 模型在训练集和测试集上表现都差,C. 模型在训练集上表现差，在测试集上表现良好,D. 模型无法学习到任何有用的信息,C,A,0.0,第7章,
87,一. 单选题（共 90 题，90.0 分）,DeepSeek-R1模型因何震惊全球AI行业？ （ ）,A. 参数规模最大,B. 训练成本仅 557.6 万美元,C. 专用于医疗领域,D. 闭源商业模式,B,B,1.0,AI场景调研与分析,
88,一. 单选题（共 90 题，90.0 分）,2025年3月，哪项行动首次被写入中国政府工作报告？ （ ）,A. 互联网 + 行动,B. 人工智能 + 行动,C. 数字经济 + 行动,D. 智能制造 + 行动,B,B,1.0,AI场景调研与分析,
89,一. 单选题（共 90 题，90.0 分）,2026年2月，美国五角大楼将哪家AI公司列为“国家安全风险”，引发行业争议？ （ ）,A. Anthropic,B. Google DeepMind,C. Cohere,D. Perplexity,D,A,0.0,AI场景调研与分析,
90,一. 单选题（共 90 题，90.0 分）,以下 ( ) 不属于人工智能的基本技术范畴。,A. 专家系统,B. 机器人技术,C. 生物神经网络,D. 人工神经网络,C,C,1.0,第5章,
91,二. 程序题（共 2 题，10.0 分）,输入整数x的值，按照下面分段函数计算并输出y的计算结果。 测试用例 1 ： 输入 -3 输出 -1 测试用例 2 ： 输入 4 输出 64 测试用例 3 ： 输入 15 输出 -8,,,,,,,5.0,Python编程题,
92,二. 程序题（共 2 题，10.0 分）,输出与3无关的数：一个正整数，如果它能被3整除，或者它的十进制表示法中某一位的数字为3，则称其为与3相关的数，否则就是与3无关的数。 从键盘分行输入两个100以内的整数m和n（m<n），输出m到n之间所有3无关的数，输出的每个数据后均有1个空格。 【测试用例1】 输入： 10 40 输出： 10 11 14 16 17 19 20 22 25 26 28 29 4,,,,,,,5.0,Python编程题,
